id,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
778220,69917,-9.950591724,-67.88426965,rio branco,AC
778221,69980,-7.637842143,-72.6718972,cruzeiro do sul,AC
778222,69917,-9.950376782,-67.88514698,rio branco,AC
778223,69906,-9.995400465,-67.80766297,rio branco,AC
778224,69900,-9.959047228,-67.81532827,rio branco,AC
778225,69940,-9.060033168,-68.66117422,sena madureira,AC
778226,69960,-8.161291781,-70.35098668,feijÃ_,AC
778227,69950,-8.833885933,-69.2590519,manoel urbano,AC
778228,69955,-9.439327021,-70.48955451,santa rosa do purus,AC
778229,69903,-9.92554463,-67.81264917,rio branco,AC
778230,69900,-9.961299307,-67.81158296,rio branco,AC
778231,69911,-9.965336242,-67.84695395,rio branco,AC
778232,69911,-9.977994304,-67.82659465,rio branco,AC
778233,69901,-9.941679722,-67.80311237,rio branco,AC
778234,69980,-7.611413224,-72.67961374,cruzeiro do sul,AC
778235,69905,-9.972864596,-67.79587857,rio branco,AC
778236,69905,-9.976271399,-67.81531151,rio branco,AC
778237,69960,-8.169443334,-70.35540188,feijo,AC
778238,69901,-9.96110648,-67.80609301,rio branco,AC
778239,69905,-9.987835694,-67.81264324,rio branco,AC
778240,69912,-9.98635411,-67.84345651,rio branco,AC
778241,69915,-9.970494485,-67.85070124,rio branco,AC
778242,69918,-9.965053341,-67.8347931,rio branco,AC
778243,69980,-7.627396807,-72.65715237,cruzeiro do sul,AC
778244,69918,-9.952935559,-67.82435061,rio branco,AC
778245,69900,-9.930719464,-67.83353374,rio branco,AC
778246,69918,-9.964829847,-67.81846391,rio branco,AC
778247,69980,-7.61323159,-72.66953192,cruzeiro do sul,AC
778248,69919,-9.948212329,-67.86106725,rio branco,AC
778249,69915,-9.973837355,-67.86571611,rio branco,AC
778250,69919,-9.952385328,-67.8450696,rio branco,AC
778251,69928,-10.32948582,-67.18331373,placido de castro,AC
778252,69918,-9.966998127,-67.82952011,rio branco,AC
778253,69915,-9.972864438,-67.86042138,rio branco,AC
778254,69970,-8.163509461,-70.76303112,tarauaca,AC
778255,69935,-10.93862836,-69.55602887,assis brasil,AC
778256,69902,-9.944147235,-67.81467358,rio branco,AC
778257,69990,-7.591290076,-72.9272963,mÃ¢ncio lima,AC
778258,69911,-9.977950915,-67.82593587,rio branco,AC
778259,69912,-9.9838759,-67.84443997,rio branco,AC
778260,69980,-7.626949335,-72.67458894,cruzeiro do sul,AC
778261,69900,-9.9630179,-67.81588293,rio branco,AC
778262,69912,-9.98635411,-67.84345651,rio branco,AC
778263,69925,-10.15227619,-67.72998946,senador guiomard,AC
778264,69915,-9.973447847,-67.8583081,rio branco,AC
778265,69919,-9.960368307,-67.8370028,rio branco,AC
778266,69911,-9.988456128,-67.82654875,rio branco,AC
778267,69911,-9.973432257,-67.83117266,rio branco,AC
778268,69990,-7.616236374,-72.90821208,mancio lima,AC
778269,69900,-9.972937968,-67.80336983,rio branco,AC
778270,69900,-9.975252434,-67.8069204,rio branco,AC
778271,69919,-9.9513175,-67.85151077,rio branco,AC
778272,69901,-9.9596205,-67.78917,rio branco,AC
778273,69911,-9.981985809,-67.82930474,rio branco,AC
778274,69919,-9.9513175,-67.85151077,rio branco,AC
778275,69908,-10.01376731,-67.78332047,rio branco,AC
778276,69918,-9.969679875,-67.82374524,rio branco,AC
778277,69990,-7.59645148,-72.92560117,mancio lima,AC
778278,69918,-9.950943791,-67.8192434,rio branco,AC
778279,69908,-10.01606252,-67.78376044,rio branco,AC
778280,69915,-9.970494485,-67.85070124,rio branco,AC
778281,69911,-9.978701784,-67.83019616,rio branco,AC
778282,69909,-10.0311749,-67.80309259,rio branco,AC
778283,69900,-9.971555833,-67.80773104,rio branco,AC
778284,69901,-9.958102523,-67.79610319,rio branco,AC
778285,69980,-7.618978,-72.67418009,cruzeiro do sul,AC
778286,69940,-9.068763977,-68.6547041,sena madureira,AC
778287,69906,-9.995320364,-67.80786439,rio branco,AC
778288,69912,-9.98635411,-67.84345651,rio branco,AC
778289,69918,-9.93456,-67.8174525,rio branco,AC
778290,69980,-7.616661093,-72.66599549,cruzeiro do sul,AC
778291,69935,-10.9423,-69.56654191,assis brasil,AC
778292,69915,-9.963357035,-67.83969807,rio branco,AC
778293,69900,-9.963601405,-67.81907797,rio branco,AC
778294,69980,-7.624875794,-72.68009362,cruzeiro do sul,AC
778295,69940,-9.058681431,-68.65939897,sena madureira,AC
778296,69970,-8.165205157,-70.76278714,tarauacÃ¡,AC
778297,69982,-9.589164469,-67.53136861,porto walter,AC
778298,69928,-10.31997401,-67.18562133,placido de castro,AC
778299,69970,-8.160406298,-70.77435907,tarauaca,AC
778300,69900,-9.96288081,-67.80997378,rio branco,AC
778301,69901,-9.946077747,-67.85531944,rio branco,AC
778302,69900,-9.967648107,-67.81050268,rio branco,AC
778303,69900,-9.974470598,-67.80969532,rio branco,AC
778304,69900,-9.963690496,-67.81251991,rio branco,AC
778305,69900,-9.938763546,-67.79312589,rio branco,AC
778306,69906,-9.988189565,-67.81163768,rio branco,AC
778307,69980,-7.629200822,-72.65993087,cruzeiro do sul,AC
778308,69918,-9.967161835,-67.82217342,rio branco,AC
778309,69911,-9.978957864,-67.8307356,rio branco,AC
778310,69915,-9.963983714,-67.83998626,rio branco,AC
778311,69915,-9.978030303,-67.84365371,rio branco,AC
778312,69915,-9.967034683,-67.84539434,rio branco,AC
778313,69900,-9.975065364,-67.82521,rio branco,AC
778314,69910,-9.943475406,-67.86163958,rio branco,AC
778315,69932,-11.01146312,-68.7420032,brasileia,AC
778316,69930,-10.64941602,-68.49374718,xapuri,AC
778317,69903,-9.927981125,-67.81198398,rio branco,AC
778318,69919,-9.984468405,-67.82756453,rio branco,AC
778319,69929,-22.86161471,-47.06430303,campinas,AC
778320,69918,-9.953162162,-67.83184792,rio branco,AC
778321,69911,-9.979058384,-67.82278764,rio branco,AC
778322,69901,-9.973816072,-67.83171401,rio branco,AC
778323,69940,-9.071933646,-68.65724028,sena madureira,AC
778324,69912,-9.98392295,-67.84203739,rio branco,AC
778325,69918,-9.943485285,-67.82584124,rio branco,AC
778326,69902,-9.940536399,-67.82281797,rio branco,AC
778327,69900,-9.966857082,-67.80778141,rio branco,AC
778328,69970,-8.163278146,-70.76518887,tarauacÃ¡,AC
778329,69919,-9.962018702,-67.84736687,rio branco,AC
778330,69900,-9.973162279,-67.81939094,rio branco,AC
778331,69918,-9.950485338,-67.82918251,rio branco,AC
778332,69905,-9.97900752,-67.80603865,rio branco,AC
778333,69915,-10.024893,-67.79381175,rio branco,AC
778334,69900,-9.963897839,-67.80641849,rio branco,AC
778335,69902,-9.942960384,-67.81370582,rio branco,AC
778336,69911,-9.988106061,-67.82535612,rio branco,AC
778337,69925,-10.15279011,-67.73495257,senador guiomard,AC
778338,69917,-9.945321942,-67.87843001,rio branco,AC
778339,69900,-9.958372931,-67.8127979,rio branco,AC
778340,69906,-9.991008606,-67.80863659,rio branco,AC
778341,69901,-9.959635729,-67.79527306,rio branco,AC
778342,69906,-9.995400465,-67.80766297,rio branco,AC
778343,69960,-8.167066006,-70.35824308,feijo,AC
778344,69911,-10.00190123,-67.83880677,rio branco,AC
778345,69906,-10.00514888,-67.81955104,rio branco,AC
778346,69917,-9.943434283,-67.87662074,rio branco,AC
778347,69955,-9.441329018,-70.49064707,santa rosa do purus,AC
778348,69901,-9.967702419,-67.79957689,rio branco,AC
778349,69900,-9.963605027,-67.81410579,rio branco,AC
778350,69901,-9.944665752,-67.86985208,rio branco,AC
778351,69900,-9.969921,-67.81910625,rio branco,AC
778352,69918,-9.9540045,-67.8356415,rio branco,AC
778353,69919,-9.96152332,-67.84730309,rio branco,AC
778354,69925,-10.15579446,-67.73047663,senador guiomard,AC
778355,69903,-9.928633243,-67.8147264,rio branco,AC
778356,69918,-9.960094257,-67.83593558,rio branco,AC
778357,69940,-9.060319506,-68.65901128,sena madureira,AC
778358,69900,-9.969921,-67.81910625,rio branco,AC
778359,69918,-9.9732435,-67.82333333,rio branco,AC
778360,69980,-7.6230975,-72.65941447,cruzeiro do sul,AC
778361,69930,-10.65385638,-68.50660241,xapuri,AC
778362,69919,-9.950208454,-67.8640557,rio branco,AC
778363,69918,-9.946191971,-67.82293893,rio branco,AC
778364,69914,-9.981402066,-67.87792764,rio branco,AC
778365,69901,-9.958833,-67.79249775,rio branco,AC
778366,69907,-10.0095202,-67.79363222,rio branco,AC
778367,69900,-9.961721864,-67.81050719,rio branco,AC
778368,69901,-9.965920547,-67.80111292,rio branco,AC
778369,69911,-9.99409676,-67.81936483,rio branco,AC
778370,69918,-9.961468072,-67.82189085,rio branco,AC
778371,69909,-10.02995545,-67.80128266,rio branco,AC
778372,69918,-9.947452758,-67.82490663,rio branco,AC
778373,69918,-9.954514939,-67.83405964,rio branco,AC
778374,69980,-7.742064,-72.456263,cruzeiro do sul,AC
778375,69908,-9.953039001,-67.81903796,rio branco,AC
778376,69901,-9.962669305,-67.79937423,rio branco,AC
778377,69940,-9.058212443,-68.65502501,sena madureira,AC
778378,69911,-9.985902425,-67.83626175,rio branco,AC
778379,69918,-9.953889508,-67.83703825,rio branco,AC
778380,69900,-9.972937968,-67.80336983,rio branco,AC
778381,69980,-7.626586838,-72.6547711,cruzeiro do sul,AC
778382,69970,-8.169887564,-70.76643885,tarauaca,AC
778383,69925,-10.15359843,-67.74017141,senador guiomard,AC
778384,69918,-9.950485338,-67.82918251,rio branco,AC
778385,69905,-9.978358156,-67.80457202,rio branco,AC
778386,69928,-10.32789117,-67.18162725,placido de castro,AC
778387,69960,-8.165337053,-70.3544179,feijo,AC
778388,69970,-8.169778856,-70.76446079,tarauacÃ¡,AC
778389,69985,-7.739141593,-72.64892267,rodrigues alves,AC
778390,69935,-10.94051041,-69.55865329,assis brasil,AC
778391,69970,-8.163358681,-70.76695003,tarauaca,AC
778392,69918,-9.970380953,-67.82868025,rio branco,AC
778393,69901,-9.960833399,-67.79493947,rio branco,AC
778394,69918,-9.953059369,-67.83850521,rio branco,AC
778395,69903,-9.952237463,-67.85393177,rio branco,AC
778396,69901,-9.963745072,-67.79485451,rio branco,AC
778397,69908,-10.01194949,-67.7858964,rio branco,AC
778398,69915,-9.97528346,-67.83631582,rio branco,AC
778399,69912,-9.98635411,-67.84345651,rio branco,AC
778400,69911,-9.976611,-67.8761675,rio branco,AC
778401,69960,-8.163367499,-70.3550861,feijo,AC
778402,69911,-9.993500368,-67.8160366,rio branco,AC
778403,69900,-9.975255523,-67.80935736,rio branco,AC
778404,69980,-7.630787631,-72.67873411,cruzeiro do sul,AC
778405,69919,-9.952719749,-67.84643176,rio branco,AC
778406,69922,-9.928538036,-67.83822414,rio branco,AC
778407,69900,-9.974997819,-67.80940552,rio branco,AC
778408,69919,-9.948584766,-67.86034572,rio branco,AC
778409,69932,-11.00414811,-68.74380334,brasilÃ©ia,AC
778410,69906,-9.974649887,-67.82570173,rio branco,AC
778411,69985,-7.732229578,-72.64993331,rodrigues alves,AC
778412,69970,-8.168059541,-70.76635988,tarauacÃ¡,AC
778413,69935,-10.93964399,-69.56718521,assis brasil,AC
778414,69918,-9.949187598,-67.82124401,rio branco,AC
778415,69911,-9.933629931,-67.83576961,rio branco,AC
778416,69970,-8.152465246,-70.78022451,tarauaca,AC
778417,69915,-9.97808756,-67.84249852,rio branco,AC
778418,69901,-9.957539351,-67.8007299,rio branco,AC
778419,69918,-9.970461053,-67.82782152,rio branco,AC
778420,69900,-9.970006547,-67.80961266,rio branco,AC
778421,69900,-9.972780351,-67.80458791,rio branco,AC
778422,69901,-9.957539351,-67.8007299,rio branco,AC
778423,69912,-9.98635411,-67.84345651,rio branco,AC
778424,69915,-9.971015638,-67.83301783,rio branco,AC
778425,69917,-9.930542197,-67.83611651,rio branco,AC
778426,69960,-8.159025359,-70.35358546,feijo,AC
778427,69945,-10.07466858,-67.05516175,acrelandia,AC
778428,69911,-9.983848359,-67.82799393,rio branco,AC
778429,69907,-10.00489554,-67.78306391,rio branco,AC
778430,69919,-9.949665732,-67.84775831,rio branco,AC
778431,69918,-9.962521407,-67.83472132,rio branco,AC
778432,69918,-9.930528571,-67.83120808,rio branco,AC
778433,69928,-10.32789117,-67.18162725,plÃ¡cido de castro,AC
778434,69900,-9.960224698,-67.81090266,rio branco,AC
778435,69901,-9.959866889,-67.80667787,rio branco,AC
778436,69945,-10.08000105,-67.05371944,acrelandia,AC
778437,69919,-9.95134232,-67.84487507,rio branco,AC
778438,69980,-7.634378145,-72.66707586,cruzeiro do sul,AC
778439,69907,-10.00785365,-67.79381436,rio branco,AC
778440,69980,-7.629726357,-72.6651241,cruzeiro do sul,AC
778441,69911,-9.993091084,-67.82426491,rio branco,AC
778442,69905,-9.979088122,-67.80667669,rio branco,AC
778443,69915,-10.02514022,-67.79378551,rio branco,AC
778444,69960,-8.171257761,-70.35932959,feijo,AC
778445,69919,-9.956304385,-67.85342832,rio branco,AC
778446,69911,-9.977701327,-67.82961341,rio branco,AC
778447,69915,-9.975140203,-67.836246,rio branco,AC
778448,69900,-9.968975772,-67.81914931,rio branco,AC
778449,69901,-9.959901297,-67.79431138,rio branco,AC
778450,69900,-9.961038251,-67.80996833,rio branco,AC
778451,69980,-7.637030839,-72.67061714,cruzeiro do sul,AC
778452,69934,-11.02508249,-68.7409412,epitaciolÃ¢ndia,AC
778453,69918,-9.949515464,-67.83163999,rio branco,AC
778454,69905,-9.980800616,-67.80143294,rio branco,AC
778455,69980,-7.633645508,-72.67615824,cruzeiro do sul,AC
778456,69903,-9.932908222,-67.81847283,rio branco,AC
778457,69980,-7.627934709,-72.66344633,cruzeiro do sul,AC
778458,69926,-9.837253865,-67.95173492,bujari,AC
778459,69901,-9.942048672,-67.85701734,rio branco,AC
778460,69901,-9.959835059,-67.79079145,rio branco,AC
778461,69950,-8.839692407,-69.26039484,manoel urbano,AC
778462,69915,-9.961025364,-67.78836734,rio branco,AC
778463,69990,-7.616030846,-72.90944365,mancio lima,AC
778464,69901,-9.960092022,-67.81011465,rio branco,AC
778465,69940,-9.065193099,-68.67668186,sena madureira,AC
778466,69900,-9.974997819,-67.80940552,rio branco,AC
778467,69980,-7.634564031,-72.671729,cruzeiro do sul,AC
778468,69918,-9.929534436,-67.83389945,rio branco,AC
778469,69919,-9.949007548,-67.86002914,rio branco,AC
778470,69900,-9.969921,-67.81910625,rio branco,AC
778471,69900,-9.974997819,-67.80940552,rio branco,AC
778472,69900,-9.965427234,-67.82290569,rio branco,AC
778473,69970,-8.160942517,-70.77162688,tarauacÃ¡,AC
778474,69905,-9.971626684,-67.80339809,rio branco,AC
778475,69980,-7.628483616,-72.66317165,cruzeiro do sul,AC
778476,69911,-9.986047606,-67.82961289,rio branco,AC
778477,69900,-9.958859466,-67.8125687,rio branco,AC
778478,69907,-9.970380953,-67.82868025,rio branco,AC
778479,69901,-9.9549405,-67.80260925,rio branco,AC
778480,69912,-9.9962505,-67.84023375,rio branco,AC
778481,69919,-9.951992864,-67.86020974,rio branco,AC
778482,69955,-9.430065665,-70.49226352,santa rosa do purus,AC
778483,69918,-9.96522124,-67.83572032,rio branco,AC
778484,69900,-9.974997819,-67.80940552,rio branco,AC
778485,69980,-7.624304796,-72.67062116,cruzeiro do sul,AC
778486,69983,-8.956425,-72.7828235,marechal thaumaturgo,AC
778487,69915,-9.972616254,-67.86038052,rio branco,AC
778488,69918,-9.949161468,-67.81988258,rio branco,AC
778489,69934,-11.029201,-68.74107493,epitaciolÃ¢ndia,AC
778490,69905,-9.979996893,-67.81839627,rio branco,AC
778491,69915,-9.970494485,-67.85070124,rio branco,AC
778492,69908,-10.02303747,-67.78271706,rio branco,AC
778493,69918,-9.95207445,-67.83049938,rio branco,AC
778494,69918,-9.950985272,-67.83606918,rio branco,AC
778495,69930,-10.65086373,-68.5054942,xapuri,AC
778496,69917,-9.946700665,-67.88291819,rio branco,AC
778497,69907,-10.0038392,-67.81589858,rio branco,AC
778498,69907,-10.00793694,-67.7945612,rio branco,AC
778499,69917,-9.944982115,-67.87643993,rio branco,AC
778500,69900,-9.969671127,-67.81395603,rio branco,AC
778501,69900,-9.967648107,-67.81050268,rio branco,AC
778502,69901,-10.01653124,-67.70057968,rio branco,AC
778503,69905,-9.969649273,-67.79354904,rio branco,AC
778504,69905,-9.971626684,-67.80339809,rio branco,AC
778505,69918,-9.976094718,-67.8451271,rio branco,AC
778506,69935,-10.94128913,-69.56740734,assis brasil,AC
778507,69918,-9.970380953,-67.82868025,rio branco,AC
778508,69960,-8.163367499,-70.3550861,feijÃ_,AC
778509,69907,-10.00729761,-67.79409119,rio branco,AC
778510,69922,-9.929296139,-67.8420302,rio branco,AC
778511,69980,-7.611490694,-72.67888592,cruzeiro do sul,AC
778512,69911,-9.951311601,-67.79693288,rio branco,AC
778513,69918,-9.957720756,-67.82306337,rio branco,AC
778514,69900,-9.974997819,-67.80940552,rio branco,AC
778515,69903,-9.931729589,-67.81926392,rio branco,AC
778516,69980,-7.629935642,-72.66791203,cruzeiro do sul,AC
778517,69900,-9.974699088,-67.81116714,rio branco,AC
778518,69915,-9.971177941,-67.83506595,rio branco,AC
778519,69919,-9.953201619,-67.8573112,rio branco,AC
778520,69930,-10.65094726,-68.50539153,xapuri,AC
778521,69900,-9.968859953,-67.81378816,rio branco,AC
778522,69900,-9.975252434,-67.8069204,rio branco,AC
778523,69918,-9.960982072,-67.82186032,rio branco,AC
778524,69901,-9.973816072,-67.83171401,rio branco,AC
778525,69902,-9.940536399,-67.82281797,rio branco,AC
778526,69930,-10.6519992,-68.5056836,xapuri,AC
778527,69907,-10.00800188,-67.78394887,rio branco,AC
778528,69980,-7.62758358,-72.67288917,cruzeiro do sul,AC
778529,69925,-10.15637929,-67.73685006,senador guiomard,AC
778530,69919,-9.961945376,-67.84121319,rio branco,AC
778531,69900,-9.959669351,-67.81384915,rio branco,AC
778532,69909,-9.960224698,-67.81090266,rio branco,AC
778533,69904,-9.981985725,-67.82874516,rio branco,AC
778534,69911,-9.949255339,-67.82196032,rio branco,AC
778535,69900,-9.951000456,-67.824378,rio branco,AC
778536,69902,-9.94344541,-67.81512676,rio branco,AC
778537,69900,-9.96917215,-67.81411781,rio branco,AC
778538,69911,-9.977810747,-67.82607705,rio branco,AC
778539,69907,-10.00196999,-67.79810951,rio branco,AC
778540,69921,-9.939077026,-67.82729316,rio branco,AC
778541,69903,-9.9354297,-67.80745638,rio branco,AC
778542,69915,-9.979530569,-67.83960753,rio branco,AC
778543,69911,-9.928722597,-67.82119757,rio branco,AC
778544,69980,-7.620550285,-72.65744232,cruzeiro do sul,AC
778545,69901,-9.952134449,-67.79764557,rio branco,AC
778546,69900,-9.962212045,-67.81993977,rio branco,AC
778547,69934,-11.02690703,-68.7406278,epitaciolandia,AC
778548,69901,-9.948217904,-67.8119003,rio branco,AC
778549,69911,-9.975085208,-67.82789876,rio branco,AC
778550,69911,-9.982753083,-67.83376575,rio branco,AC
778551,69911,-9.996001659,-67.83064938,rio branco,AC
778552,69918,-9.960421202,-67.82859329,rio branco,AC
778553,69915,-9.974894983,-67.83560774,rio branco,AC
778554,69905,-9.968833662,-67.83536764,rio branco,AC
778555,69912,-9.98635411,-67.84345651,rio branco,AC
778556,69901,-9.960578503,-67.80744337,rio branco,AC
778557,69980,-7.629536991,-72.67410106,cruzeiro do sul,AC
778558,69911,-9.984054709,-67.82869883,rio branco,AC
778559,69970,-8.160406298,-70.77435907,tarauaca,AC
778560,69980,-7.633552735,-72.66536851,cruzeiro do sul,AC
778561,69903,-9.931210951,-67.81851176,rio branco,AC
778562,69900,-9.972221047,-67.80485201,rio branco,AC
778563,69955,-9.469326,-70.460072,santa rosa do purus,AC
778564,69912,-9.98635411,-67.84345651,rio branco,AC
778565,69915,-9.963848714,-67.83990976,rio branco,AC
778566,69900,-9.965615769,-67.83350996,rio branco,AC
778567,69900,-9.96119277,-67.81266877,rio branco,AC
778568,69908,-10.00815948,-67.77740459,rio branco,AC
778569,69970,-8.162188301,-70.7688253,tarauaca,AC
778570,69935,-10.94139277,-69.56855419,assis brasil,AC
778571,69915,-10.03186984,-67.81435946,rio branco,AC
778572,69900,-9.967400413,-67.81155787,rio branco,AC
778573,69918,-9.928900487,-67.84138168,rio branco,AC
778574,69903,-9.932308478,-67.81040213,rio branco,AC
778575,69950,-8.83952767,-69.26369874,manoel urbano,AC
778576,69926,-9.701313883,-68.16345503,bujari,AC
778577,69980,-7.612952965,-72.68599938,cruzeiro do sul,AC
778578,69919,-9.954712509,-67.85574828,rio branco,AC
778579,69917,-9.962420066,-67.84656929,rio branco,AC
778580,69940,-9.068526103,-68.65482327,sena madureira,AC
778581,69901,-9.985192948,-67.88136591,rio branco,AC
778582,69912,-9.98635411,-67.84345651,rio branco,AC
778583,69901,-9.959866889,-67.80667787,rio branco,AC
778584,69940,-9.065718855,-68.65558864,sena madureira,AC
778585,69905,-9.978963744,-67.81473494,rio branco,AC
778586,69918,-9.964460294,-67.82941727,rio branco,AC
778587,69905,-10.01031059,-67.80597459,rio branco,AC
778588,69906,-9.982692,-67.8797505,rio branco,AC
778589,69960,-8.163367499,-70.3550861,feijo,AC
778590,69919,-9.950341132,-67.85349271,rio branco,AC
778591,69940,-9.067719896,-68.66181431,sena madureira,AC
778592,69911,-9.992635659,-67.81940656,rio branco,AC
778593,69918,-9.960464876,-67.82818436,rio branco,AC
778594,69901,-9.965385,-67.78647675,rio branco,AC
778595,69980,-7.627887999,-72.67838818,cruzeiro do sul,AC
778596,69911,-9.990200997,-67.8193445,rio branco,AC
778597,69919,-9.959601478,-67.84652267,rio branco,AC
778598,69935,-10.94140648,-69.56741561,assis brasil,AC
778599,69925,-10.15669141,-67.73443859,senador guiomard,AC
778600,69945,-9.937884,-66.928913,acrelandia,AC
778601,69900,-9.975252434,-67.8069204,rio branco,AC
778602,69914,-9.978608227,-67.87096256,rio branco,AC
778603,69901,-9.95477682,-67.80315971,rio branco,AC
778604,69907,-10.00478616,-67.79603557,rio branco,AC
778605,69918,-9.960496072,-67.82181885,rio branco,AC
778606,69919,-9.954712509,-67.85574828,rio branco,AC
778607,69918,-9.9732728,-67.82388088,rio branco,AC
778608,69906,-9.988646731,-67.80743393,rio branco,AC
778609,69911,-9.99277907,-67.81830249,rio branco,AC
778610,69980,-7.629536991,-72.67410106,cruzeiro do sul,AC
778611,69915,-9.962291354,-67.84692422,rio branco,AC
778612,69903,-9.971122421,-67.879355,rio branco,AC
778613,69918,-9.948964883,-67.82237447,rio branco,AC
778614,69918,-9.960649072,-67.82183782,rio branco,AC
778615,69980,-7.618978,-72.67418009,cruzeiro do sul,AC
778616,69980,-7.629536991,-72.67410106,cruzeiro do sul,AC
778617,69911,-9.984767511,-67.83249991,rio branco,AC
778618,69915,-9.967034683,-67.84539434,rio branco,AC
778619,69911,-9.977810747,-67.82607705,rio branco,AC
778620,69908,-9.804331341,-68.47583328,rio branco,AC
778621,69915,-9.970221143,-67.83796705,rio branco,AC
778622,69909,-10.03587951,-67.80025703,rio branco,AC
778623,69900,-9.9603327,-67.81672554,rio branco,AC
778624,69918,-9.957598743,-67.83007185,rio branco,AC
778625,69918,-9.963448491,-67.83477082,rio branco,AC
778626,69980,-7.611490694,-72.67888592,cruzeiro do sul,AC
778627,69918,-9.960094257,-67.83593558,rio branco,AC
778628,69900,-9.962046199,-67.81122702,rio branco,AC
778629,69960,-8.16359154,-70.34697631,feijo,AC
778630,69935,-10.94259827,-69.56663448,assis brasil,AC
778631,69980,-7.593322281,-72.74736838,cruzeiro do sul,AC
778632,69907,-9.963647864,-67.82980681,rio branco,AC
778633,69918,-9.95357757,-67.83567615,rio branco,AC
778634,69982,-8.265308526,-72.75338139,porto walter,AC
778635,69980,-7.629536991,-72.67410106,cruzeiro do sul,AC
778636,69919,-9.960176682,-67.84247552,rio branco,AC
778637,69917,-9.962420066,-67.84656929,rio branco,AC
778638,69906,-9.995400465,-67.80766297,rio branco,AC
778639,69918,-9.965429682,-67.83374929,rio branco,AC
778640,69911,-9.948779503,-67.8225382,rio branco,AC
778641,69902,-9.941532089,-67.82503346,rio branco,AC
778642,69911,-9.977166201,-67.82769249,rio branco,AC
778643,69912,-9.990815132,-67.8486576,rio branco,AC
778644,69915,-10.02514022,-67.79378551,rio branco,AC
778645,69960,-8.168060123,-70.35768374,feijo,AC
778646,69926,-9.832237921,-67.95102231,bujari,AC
778647,69915,-9.975281537,-67.87283779,rio branco,AC
778648,69918,-9.956880335,-67.82063881,rio branco,AC
778649,69901,-9.946342328,-67.80270678,rio branco,AC
778650,69900,-9.962137875,-67.80658873,rio branco,AC
778651,69914,-9.963816573,-67.83928231,rio branco,AC
778652,69906,-9.995116108,-67.80664839,rio branco,AC
778653,69914,-9.976777198,-67.87535269,rio branco,AC
778654,69970,-8.160942517,-70.77162688,tarauacÃ¡,AC
778655,69918,-9.949285807,-67.82684818,rio branco,AC
778656,69918,-9.957589208,-67.83070079,rio branco,AC
778657,69901,-9.947999355,-67.81121474,rio branco,AC
778658,69914,-9.982040522,-67.87661241,rio branco,AC
778659,69915,-9.977015831,-67.83914469,rio branco,AC
778660,69960,-8.169443334,-70.35540188,feijo,AC
778661,69932,-11.0056868,-68.7456976,brasileia,AC
778662,69918,-9.952441334,-67.83003934,rio branco,AC
778663,69940,-9.073959822,-68.66046041,sena madureira,AC
778664,69914,-9.978608227,-67.87096256,rio branco,AC
778665,69900,-9.966215099,-67.83648728,rio branco,AC
778666,69901,-9.959753934,-67.80201689,rio branco,AC
778667,69915,-9.97017118,-67.85063521,rio branco,AC
778668,69921,-9.928621917,-67.83310769,rio branco,AC
